,m,P,r,l,T,ρ,ε,κ,∇_ad,∇,nature
109,2.8979430162717767e+32,1.0131156975157557e+17,10203171035.868658,4.572752980452031e+33,13224758.857868152,56.65655273038723,8.657340230304685,1.6425556407515538,0.4,0.33858387815202184,radiative
110,2.9245296494243124e+32,1.0093488047587022e+17,10238972489.82742,4.5956832789862793e+33,13208108.170768159,56.51711106329169,8.58851860746598,1.6449537482986325,0.4,0.3381246602695681,radiative
111,2.951116282576848e+32,1.0056005726605085e+17,10274606738.59273,4.618429512012324e+33,13191520.773949245,56.37809223823865,8.520407251375453,1.6473475464843574,0.4,0.33766773729600913,radiative
112,2.977702915729384e+32,1.001870805372521e+17,10310076427.415245,4.640993548122463e+33,13174995.838801065,56.23949241273221,8.452994516118936,1.6497371146030002,0.4,0.337213075204513,radiative
113,3.00428954888192e+32,9.981593091509923e+16,10345384169.08547,4.66337723662509e+33,13158532.547478054,56.10130775015456,8.386269022483509,1.6521225311113599,0.4,0.33676064186575355,radiative
114,3.0308761820344557e+32,9.944658923570814e+16,10380532543.933758,4.685582407544702e+33,13142130.092899423,55.963534420816984,8.320219650706127,1.6545038735990127,0.4,0.33631040690224046,radiative
115,3.0574628151869914e+32,9.907903654568528e+16,10415524099.830305,4.707610871621896e+33,13125787.678749166,55.82616860300833,8.25483553347308,1.6568812187588244,0.4,0.33586234155044753,radiative
116,3.0840494483395274e+32,9.871325410212778e+16,10450361352.18516,4.72946442031337e+33,13109504.519476054,55.689206484040966,8.190106049159667,1.659254642357731,0.4,0.33541641853028703,radiative
117,3.1106360814920634e+32,9.83492233726233e+16,10485046783.948212,4.7511448257919194e+33,13093279.840293631,55.55264426129427,8.12602081530049,1.6616242192077975,0.4,0.3349726119215021,radiative
118,3.137222714644599e+32,9.798692603525019e+16,10519582845.609205,4.7726538409464424e+33,13077112.877180226,55.41647814325553,8.062569682280687,1.663990023137524,0.4,0.3345308970465713,radiative
119,3.1638093477971348e+32,9.762634397857738e+16,10553971955.197725,4.7939931993819375e+33,13061002.876878947,55.280704350558466,7.999742727239213,1.6663521269634363,0.4,0.33409125035976567,radiative
120,3.1903959809496708e+32,9.726745930166435e+16,10588216498.283207,4.815164615419502e+33,13044949.096897673,55.14531911701926,7.937530248175756,1.6687106024619496,0.4,0.33365364934200464,radiative
121,3.2169826141022068e+32,9.691025431406133e+16,10622318827.974932,4.8361697840963345e+33,13028950.80550907,55.01031869067014,7.875922758252786,1.671065520341475,0.4,0.3332180724011781,radiative
122,3.2435692472547425e+32,9.655471153580902e+16,10656281264.922031,4.8570103811657335e+33,13013007.281750577,54.87569933479049,7.814910980285071,1.6734169502148168,0.4,0.3327844987776458,radiative
123,3.270155880407278e+32,9.620081369743882e+16,10690106097.313478,4.8776880630970966e+33,12997117.815424412,54.741457328935645,7.754485841409222,1.6757649605718403,0.4,0.33235290845462095,radiative
124,3.296742513559814e+32,9.584854373997269e+16,10723795580.878101,4.898204467075925e+33,12981281.707097577,54.60758896996328,7.694638467925894,1.6781096187523958,0.4,0.3319232820731692,radiative
125,3.32332914671235e+32,9.549788481492323e+16,10757351938.884567,4.9185612110038175e+33,12965498.268101843,54.47409057305749,7.635360180308202,1.6804509909195153,0.4,0.3314956008515785,radiative
126,3.349915779864885e+32,9.514882028429363e+16,10790777362.141396,4.9387598934984726e+33,12949766.82053377,54.34095847275049,7.576642488369209,1.6827891420328818,0.4,0.33106984650886323,radiative
127,3.376502413017421e+32,9.480133372057773e+16,10824074008.996952,4.9588020938936904e+33,12934086.697254686,54.20818902394219,7.518477086582948,1.685124135822578,0.4,0.3306460011921874,radiative
128,3.403089046169957e+32,9.44554089067599e+16,10857244005.339449,4.978689372239372e+33,12918457.241890704,54.07577860291735,7.4608558495524315,1.6874560347630818,0.4,0.33022404740798983,radiative
129,3.429675679322493e+32,9.411102983631523e+16,10890289444.596945,4.998423269301517e+33,12902877.808832716,53.94372360836076,7.403770827619193,1.6897849000475595,0.4,0.3298039679566326,radiative
130,3.456262312475029e+32,9.376818071320933e+16,10923212387.737349,5.018005306562227e+33,12887347.76323639,53.81202046237012,7.347214242608909,1.692110791562408,0.4,0.3293857458703776,radiative
131,3.4828489456275645e+32,9.342684595189846e+16,10956014863.268414,5.037436986219701e+33,12871866.481022172,53.68066561146691,7.2911784837077205,1.6944337678620909,0.4,0.3289693643545323,radiative
132,3.5094355787801005e+32,9.30870101773295e+16,10988698867.237741,5.056719791188242e+33,12856433.348875288,53.54965552760513,7.23565610346445,1.6967538861442208,0.4,0.32855480673159043,radiative
133,3.5360222119326365e+32,9.27486582249399e+16,11021266363.23278,5.0758551850982507e+33,12841047.764245741,53.418986709178164,7.180639813913706,1.6990712022249457,0.4,0.32814205638823296,radiative
134,3.562608845085172e+32,9.24117751406578e+16,11053719282.380827,5.094844612296228e+33,12825709.135348316,53.28865568202359,7.1261224828155205,1.7013857705145823,0.4,0.327731096725031,radiative
135,3.589195478237708e+32,9.207634618090181e+16,11086059523.349026,5.113689497844778e+33,12810416.881162573,53.15865900042608,7.072097130006907,1.7036976439935472,0.4,0.3273219111087302,radiative
136,3.615782111390244e+32,9.174235681258131e+16,11118288952.344364,5.1323912475226006e+33,12795170.431432847,53.02899324811865,7.018556923861278,1.7060068741885472,0.4,0.3269144828269813,radiative
137,3.64236874454278e+32,9.140979271309618e+16,11150409403.113682,5.1509512478245e+33,12779969.226668263,52.899655039281804,6.965495177851742,1.7083135111490526,0.4,0.3265087950454003,radiative
138,3.668955377695316e+32,9.107863977033696e+16,11182422676.943663,5.1693708659613786e+33,12764812.718142712,52.77064101954136,6.91290534721424,1.7106176034240637,0.4,0.3261048307668555,radiative
139,3.695542010847851e+32,9.074888408268482e+16,11214330542.660837,5.1876514498602385e+33,12749700.367894871,52.641947866964195,6.8607810257069834,1.7129191980391325,0.4,0.32570257279285886,radiative
140,3.722128644000387e+32,9.042051195901146e+16,11246134736.631588,5.205794328164184e+33,12734631.648728194,52.51357229305267,6.8091159424626655,1.7152183404736825,0.4,0.3253020036869761,radiative
141,3.748715277152923e+32,9.009350991867926e+16,11277836962.76214,5.223800810232417e+33,12719606.04421091,52.38551104373747,6.757903958929905,1.7175150746386187,0.4,0.3249031057401613,radiative
142,3.7753019103054585e+32,8.976786469154123e+16,11309438892.498566,5.241672186140243e+33,12704623.048676033,52.257760900368886,6.707139065900878,1.7198094428542,0.4,0.3245058609379159,radiative
143,3.8018885434579945e+32,8.94435632179409e+16,11340942164.826788,5.259409726679067e+33,12689682.167221349,52.13031868070666,6.656815380621845,1.722101485828228,0.4,0.32411025092920315,radiative
144,3.8284751766105306e+32,8.912059264871248e+16,11372348386.272573,5.277014683356391e+33,12674782.915709423,52.003181239908685,6.606927143983766,1.7243912426345003,0.4,0.32371625699703016,radiative
145,3.8550618097630666e+32,8.879894034518077e+16,11403659130.901539,5.294488288395821e+33,12659924.820767606,51.87634547151812,6.557468717789915,1.7266787506915748,0.4,0.3233238600306248,radiative
146,3.8816484429156026e+32,8.84785938791612e+16,11434875940.319147,5.31183175473706e+33,12645107.41978802,51.74980830844958,6.508434582098038,1.728964045741817,0.4,0.3229330404991416,radiative
